,x
4,Bessborough 237 Road
27,Farmington Community Hall
28,Fort St John 85th Avenue
29,Fort St John Key Learning Centre
30,Fort St John North Camp C
31,Fort St John Old Fort
54,Kwoen Gas Plant
68,Peace Valley Attachie Flat Upper Terrace
70,PG Marsulex
71,Pine River Gas Plant
72,Pine River Hasler
81,Prince George CBC Transmitter
82,Prince George Exploration Place
83,Prince George Glenview School
84,Prince George Jail
85,Prince George Lakewood
86,Prince George Marsulex Acid Plant
87,Prince George Plaza 400
88,Prince George Pulp
105,Taylor South Hill
106,Taylor Townsite
112,Valemount
115,Vanderhoof Courthouse
